	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
	spk_r4	spk_r5	spk_r6	spk_r7	col_r4	col_r5	col_r6	col_r7	lib_r4	lib_r5	lib_r6	lib_r7
VARIABLES	spk	spk	spk	spk	col	col	col	col	lib	lib	lib	lib
												
spk	.	.	.	.								
	(.)	(.)	(.)	(.)								
	[. - .]	[. - .]	[. - .]	[. - .]								
	.	.	.	.								
	[-0.382 - 0.522]	[-0.379 - 0.522]	[-0.385 - 0.518]	[-0.392 - 0.511]	[-0.412 - 0.632]	[-0.418 - 0.623]	[-0.397 - 0.638]	[-0.446 - 0.583]	[-0.646 - 0.269]	[-0.669 - 0.244]	[-0.641 - 0.274]	[-0.633 - 0.278]
	0.762	0.757	0.771	0.795	0.680	0.700	0.648	0.795	0.419	0.361	0.432	0.444
6.marital	0.382	0.394	0.379	0.369	0.506	0.497	0.505	0.455	-0.093	-0.107	-0.097	-0.081
	(0.261)	(0.261)	(0.260)	(0.260)	(0.283)	(0.284)	(0.284)	(0.284)	(0.269)	(0.269)	(0.266)	(0.264)
	[-0.130 - 0.894]	[-0.116 - 0.905]	[-0.131 - 0.889]	[-0.141 - 0.879]	[-0.048 - 1.060]	[-0.060 - 1.054]	[-0.052 - 1.061]	[-0.102 - 1.012]	[-0.619 - 0.434]	[-0.635 - 0.421]	[-0.618 - 0.424]	[-0.598 - 0.435]
	0.143	0.130	0.145	0.156	0.073	0.081	0.076	0.109	0.731	0.691	0.714	0.758
2.relig	-0.352	-0.361	-0.366	-0.383	-0.186	-0.186	-0.220	-0.222	0.169	0.171	0.152	0.164
	(0.210)	(0.210)	(0.209)	(0.207)	(0.260)	(0.262)	(0.259)	(0.259)	(0.205)	(0.204)	(0.204)	(0.204)
	[-0.763 - 0.059]	[-0.772 - 0.049]	[-0.775 - 0.043]	[-0.789 - 0.023]	[-0.695 - 0.323]	[-0.699 - 0.328]	[-0.728 - 0.287]	[-0.730 - 0.285]	[-0.232 - 0.571]	[-0.229 - 0.571]	[-0.247 - 0.552]	[-0.237 - 0.564]
	0.093	0.085	0.080	0.064	0.475	0.479	0.395	0.391	0.408	0.402	0.455	0.423
3.relig	-0.866	-0.849	-0.865	-0.816	-0.993	-0.998	-0.965	-1.006	-0.426	-0.467	-0.450	-0.464
	(0.775)	(0.782)	(0.765)	(0.766)	(0.786)	(0.770)	(0.769)	(0.785)	(0.638)	(0.620)	(0.630)	(0.621)
	[-2.385 - 0.652]	[-2.383 - 0.684]	[-2.365 - 0.634]	[-2.316 - 0.685]	[-2.533 - 0.547]	[-2.506 - 0.511]	[-2.472 - 0.542]	[-2.545 - 0.532]	[-1.677 - 0.826]	[-1.681 - 0.748]	[-1.685 - 0.785]	[-1.682 - 0.754]
	0.263	0.278	0.258	0.287	0.206	0.195	0.210	0.200	0.505	0.452	0.475	0.455
4.relig	2.562	2.531	2.570	2.597	2.152	2.125	2.158	2.158	0.651	0.716	0.622	0.653
	(1.092)	(1.101)	(1.125)	(1.162)	(0.880)	(0.909)	(0.893)	(0.918)	(0.685)	(0.693)	(0.688)	(0.690)
	[0.421 - 4.703]	[0.374 - 4.688]	[0.366 - 4.775]	[0.319 - 4.874]	[0.427 - 3.876]	[0.344 - 3.906]	[0.408 - 3.908]	[0.359 - 3.957]	[-0.692 - 1.994]	[-0.643 - 2.075]	[-0.725 - 1.970]	[-0.700 - 2.006]
	0.019	0.021	0.022	0.025	0.014	0.019	0.016	0.019	0.342	0.302	0.365	0.344
5.relig	0.495	0.486	0.478	0.452	0.336	0.337	0.330	0.333	0.378	0.405	0.369	0.407
	(0.479)	(0.481)	(0.476)	(0.486)	(0.550)	(0.547)	(0.535)	(0.527)	(0.487)	(0.491)	(0.479)	(0.473)
	[-0.444 - 1.435]	[-0.457 - 1.429]	[-0.455 - 1.412]	[-0.500 - 1.405]	[-0.742 - 1.414]	[-0.735 - 1.408]	[-0.719 - 1.379]	[-0.700 - 1.367]	[-0.577 - 1.332]	[-0.558 - 1.368]	[-0.570 - 1.309]	[-0.520 - 1.334]
	0.302	0.312	0.315	0.352	0.542	0.538	0.537	0.527	0.438	0.410	0.441	0.390
6.relig	-0.844	-0.809	-0.871	-0.825	-0.241	-0.287	-0.282	-0.300	0.090	0.105	0.067	0.052
	(0.877)	(0.879)	(0.885)	(0.893)	(1.098)	(1.104)	(1.121)	(1.137)	(0.862)	(0.895)	(0.866)	(0.887)
	[-2.563 - 0.874]	[-2.533 - 0.914]	[-2.605 - 0.863]	[-2.576 - 0.926]	[-2.393 - 1.911]	[-2.450 - 1.876]	[-2.478 - 1.915]	[-2.528 - 1.928]	[-1.599 - 1.780]	[-1.649 - 1.860]	[-1.630 - 1.764]	[-1.687 - 1.791]
	0.336	0.357	0.325	0.356	0.826	0.795	0.802	0.792	0.917	0.906	0.938	0.953
7.relig	0.633	0.580	0.607	0.556	-0.200	-0.165	-0.269	-0.192	-0.799	-0.754	-0.851	-0.816
	(0.573)	(0.572)	(0.574)	(0.572)	(0.707)	(0.698)	(0.717)	(0.703)	(0.588)	(0.603)	(0.588)	(0.608)
	[-0.491 - 1.757]	[-0.542 - 1.701]	[-0.518 - 1.731]	[-0.565 - 1.676]	[-1.584 - 1.185]	[-1.533 - 1.204]	[-1.674 - 1.136]	[-1.570 - 1.185]	[-1.952 - 0.353]	[-1.936 - 0.429]	[-2.003 - 0.302]	[-2.007 - 0.375]
	0.270	0.311	0.290	0.331	0.778	0.814	0.708	0.785	0.174	0.212	0.148	0.179
8.relig	-1.818	-1.779	-1.850	-1.799	-2.245	-2.231	-2.286	-2.190	-1.007	-0.987	-1.037	-1.072
	(0.897)	(0.899)	(0.909)	(0.908)	(1.098)	(1.092)	(1.152)	(1.149)	(0.818)	(0.795)	(0.830)	(0.838)
	[-3.577 - -0.059]	[-3.542 - -0.017]	[-3.631 - -0.068]	[-3.578 - -0.020]	[-4.397 - -0.094]	[-4.370 - -0.091]	[-4.543 - -0.029]	[-4.442 - 0.062]	[-2.610 - 0.597]	[-2.545 - 0.570]	[-2.664 - 0.591]	[-2.714 - 0.571]
	0.043	0.048	0.042	0.048	0.041	0.041	0.047	0.057	0.219	0.214	0.212	0.201
9.relig	0.831	0.836	0.814	0.808	0.336	0.343	0.307	0.345	1.199	1.169	1.163	1.150
	(0.381)	(0.385)	(0.381)	(0.387)	(0.324)	(0.328)	(0.324)	(0.325)	(0.412)	(0.407)	(0.413)	(0.409)
	[0.085 - 1.577]	[0.082 - 1.591]	[0.067 - 1.561]	[0.049 - 1.568]	[-0.300 - 0.972]	[-0.299 - 0.986]	[-0.327 - 0.941]	[-0.293 - 0.983]	[0.391 - 2.007]	[0.371 - 1.967]	[0.354 - 1.973]	[0.348 - 1.953]
	0.029	0.030	0.033	0.037	0.300	0.295	0.343	0.289	0.004	0.004	0.005	0.005
10.relig	0.296	0.290	0.268	0.268	0.060	0.074	-0.001	0.016	0.583	0.547	0.526	0.518
	(0.349)	(0.351)	(0.354)	(0.354)	(0.363)	(0.364)	(0.371)	(0.369)	(0.383)	(0.382)	(0.383)	(0.382)
	[-0.388 - 0.980]	[-0.399 - 0.979]	[-0.425 - 0.961]	[-0.426 - 0.961]	[-0.652 - 0.771]	[-0.639 - 0.786]	[-0.728 - 0.726]	[-0.707 - 0.739]	[-0.167 - 1.332]	[-0.202 - 1.296]	[-0.224 - 1.276]	[-0.231 - 1.268]
	0.396	0.409	0.449	0.450	0.870	0.839	0.998	0.966	0.128	0.153	0.169	0.175
