	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
	spk_r4	spk_r5	spk_r6	spk_r7	col_r4	col_r5	col_r6	col_r7	lib_r4	lib_r5	lib_r6	lib_r7
VARIABLES	spk	spk	spk	spk	col	col	col	col	lib	lib	lib	lib
												
spk	.	.	.	.								
	(.)	(.)	(.)	(.)								
	[. - .]	[. - .]	[. - .]	[. - .]								
	.	.	.	.								
4.relig	0.371	0.365	0.371	0.377	0.367	0.349	0.364	0.347	0.136	0.142	0.127	0.131
	(0.117)	(0.120)	(0.118)	(0.120)	(0.140)	(0.142)	(0.140)	(0.141)	(0.137)	(0.134)	(0.137)	(0.135)
	[0.142 - 0.601]	[0.129 - 0.601]	[0.140 - 0.602]	[0.141 - 0.613]	[0.093 - 0.642]	[0.071 - 0.627]	[0.090 - 0.639]	[0.070 - 0.625]	[-0.133 - 0.405]	[-0.121 - 0.406]	[-0.141 - 0.395]	[-0.134 - 0.396]
	0.002	0.002	0.002	0.002	0.009	0.014	0.009	0.014	0.321	0.290	0.354	0.333
5.relig	0.103	0.101	0.099	0.095	0.058	0.057	0.053	0.052	0.082	0.087	0.080	0.086
	(0.104)	(0.105)	(0.103)	(0.106)	(0.099)	(0.097)	(0.099)	(0.096)	(0.096)	(0.096)	(0.095)	(0.093)
	[-0.101 - 0.306]	[-0.105 - 0.307]	[-0.103 - 0.302]	[-0.113 - 0.304]	[-0.137 - 0.252]	[-0.134 - 0.248]	[-0.140 - 0.247]	[-0.137 - 0.241]	[-0.107 - 0.271]	[-0.102 - 0.276]	[-0.105 - 0.266]	[-0.097 - 0.269]
	0.322	0.335	0.336	0.370	0.560	0.559	0.588	0.591	0.394	0.367	0.396	0.355
6.relig	-0.177	-0.168	-0.182	-0.171	-0.048	-0.053	-0.058	-0.057	0.028	0.033	0.024	0.023
	(0.192)	(0.193)	(0.194)	(0.195)	(0.214)	(0.211)	(0.217)	(0.214)	(0.182)	(0.188)	(0.183)	(0.186)
	[-0.553 - 0.200]	[-0.546 - 0.211]	[-0.562 - 0.197]	[-0.554 - 0.211]	[-0.467 - 0.371]	[-0.467 - 0.362]	[-0.484 - 0.367]	[-0.477 - 0.363]	[-0.329 - 0.386]	[-0.336 - 0.402]	[-0.334 - 0.382]	[-0.342 - 0.387]
	0.357	0.385	0.346	0.380	0.823	0.803	0.788	0.790	0.876	0.860	0.896	0.903
7.relig	0.141	0.131	0.136	0.125	-0.039	-0.032	-0.052	-0.042	-0.167	-0.157	-0.176	-0.168
	(0.122)	(0.122)	(0.123)	(0.123)	(0.107)	(0.106)	(0.108)	(0.107)	(0.124)	(0.126)	(0.124)	(0.126)
	[-0.098 - 0.381]	[-0.108 - 0.370]	[-0.105 - 0.377]	[-0.116 - 0.367]	[-0.249 - 0.171]	[-0.240 - 0.176]	[-0.263 - 0.160]	[-0.252 - 0.168]	[-0.410 - 0.077]	[-0.404 - 0.090]	[-0.419 - 0.067]	[-0.414 - 0.079]
	0.246	0.283	0.268	0.308	0.716	0.763	0.632	0.697	0.179	0.212	0.155	0.183
8.relig	-0.366	-0.358	-0.372	-0.360	-0.292	-0.291	-0.301	-0.292	-0.189	-0.183	-0.194	-0.198
	(0.158)	(0.158)	(0.160)	(0.159)	(0.092)	(0.093)	(0.097)	(0.098)	(0.176)	(0.173)	(0.177)	(0.177)
