	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
	spk_r1	spk_r2	spk_r3	col_r1	col_r2	col_r3	lib_r1	lib_r2	lib_r3
VARIABLES	spk	spk	spk	col	col	col	lib	lib	lib
									
spk	.	.	.						
	(.)	(.)	(.)						
	[. - .]	[. - .]	[. - .]						
	.	.	.						
	0.047	0.081	0.080	0.025	0.071	0.067	0.000	0.001	0.001
12.relig	-0.179	-0.178	-0.181	0.068	0.070	0.064	-0.086	-0.104	-0.094
	(0.191)	(0.193)	(0.191)	(0.231)	(0.234)	(0.234)	(0.190)	(0.190)	(0.190)
	[-0.554 - 0.195]	[-0.556 - 0.199]	[-0.556 - 0.194]	[-0.384 - 0.520]	[-0.388 - 0.528]	[-0.395 - 0.524]	[-0.458 - 0.286]	[-0.477 - 0.269]	[-0.466 - 0.278]
	0.348	0.355	0.345	0.768	0.764	0.783	0.652	0.584	0.620
13.relig	0.549	0.464	0.447	1.020	0.798	0.778	0.403	0.182	0.218
	(0.502)	(0.503)	(0.507)	(0.508)	(0.535)	(0.540)	(0.604)	(0.594)	(0.601)
	[-0.435 - 1.533]	[-0.522 - 1.450]	[-0.547 - 1.441]	[0.025 - 2.015]	[-0.251 - 1.847]	[-0.280 - 1.835]	[-0.780 - 1.587]	[-0.982 - 1.346]	[-0.959 - 1.395]
	0.274	0.356	0.378	0.044	0.136	0.150	0.504	0.759	0.717
14.relig	0.448	0.380	0.385	0.573	0.459	0.451	0.405	0.267	0.267
	(0.511)	(0.511)	(0.517)	(0.450)	(0.450)	(0.449)	(0.476)	(0.481)	(0.479)
	[-0.553 - 1.448]	[-0.623 - 1.382]	[-0.628 - 1.399]	[-0.309 - 1.455]	[-0.422 - 1.340]	[-0.428 - 1.330]	[-0.529 - 1.338]	[-0.675 - 1.209]	[-0.671 - 1.206]
	0.381	0.458	0.456	0.203	0.307	0.315	0.396	0.578	0.577
15.relig	0.358	0.406	0.434	1.399	1.176	1.188	-0.769	-0.586	-0.631
	(0.629)	(0.668)	(0.677)	(0.651)	(0.675)	(0.681)	(0.558)	(0.702)	(0.718)
	[-0.876 - 1.592]	[-0.904 - 1.716]	[-0.893 - 1.761]	[0.123 - 2.675]	[-0.147 - 2.498]	[-0.147 - 2.523]	[-1.862 - 0.324]	[-1.962 - 0.790]	[-2.039 - 0.777]
	0.570	0.543	0.522	0.032	0.081	0.081	0.168	0.404	0.379
2.educ4	0.409	0.429	0.446	-0.428	-0.369	-0.381	-0.289	-0.240	-0.241
	(0.354)	(0.361)	(0.361)	(0.383)	(0.379)	(0.378)	(0.289)	(0.285)	(0.285)
