	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
	spk_r1	spk_r2	spk_r3	col_r1	col_r2	col_r3	lib_r1	lib_r2	lib_r3
VARIABLES	spk	spk	spk	col	col	col	lib	lib	lib
									
spk	.	.	.						
	(.)	(.)	(.)						
	[. - .]	[. - .]	[. - .]						
	.	.	.						
8.income	-0.059	-0.060	-0.071	-0.040	-0.044	-0.058	-0.159	-0.153	-0.148
	(0.127)	(0.128)	(0.126)	(0.102)	(0.102)	(0.103)	(0.129)	(0.134)	(0.129)
	[-0.308 - 0.191]	[-0.311 - 0.192]	[-0.317 - 0.176]	[-0.240 - 0.159]	[-0.244 - 0.156]	[-0.260 - 0.143]	[-0.411 - 0.093]	[-0.415 - 0.110]	[-0.401 - 0.106]
	0.644	0.642	0.573	0.690	0.666	0.570	0.216	0.255	0.255
9.income	-0.054	-0.043	-0.054	-0.097	-0.091	-0.102	-0.248	-0.255	-0.246
	(0.119)	(0.123)	(0.119)	(0.094)	(0.097)	(0.097)	(0.117)	(0.122)	(0.117)
	[-0.287 - 0.180]	[-0.284 - 0.198]	[-0.288 - 0.180]	[-0.282 - 0.088]	[-0.281 - 0.099]	[-0.292 - 0.088]	[-0.477 - -0.019]	[-0.495 - -0.015]	[-0.475 - -0.016]
	0.652	0.727	0.649	0.304	0.348	0.292	0.033	0.038	0.036
10.income	-0.003	0.021	0.007	0.031	0.051	0.037	-0.125	-0.122	-0.118
	(0.119)	(0.122)	(0.120)	(0.096)	(0.097)	(0.098)	(0.115)	(0.121)	(0.116)
	[-0.237 - 0.231]	[-0.219 - 0.261]	[-0.228 - 0.242]	[-0.158 - 0.219]	[-0.140 - 0.243]	[-0.155 - 0.230]	[-0.351 - 0.101]	[-0.359 - 0.115]	[-0.344 - 0.109]
	0.982	0.862	0.953	0.750	0.597	0.704	0.279	0.314	0.310
11.income	-0.056	-0.052	-0.051	-0.106	-0.103	-0.107	-0.117	-0.121	-0.118
	(0.117)	(0.121)	(0.118)	(0.093)	(0.095)	(0.095)	(0.119)	(0.124)	(0.119)
	[-0.286 - 0.174]	[-0.289 - 0.185]	[-0.282 - 0.181]	[-0.289 - 0.077]	[-0.290 - 0.084]	[-0.294 - 0.080]	[-0.351 - 0.116]	[-0.364 - 0.122]	[-0.351 - 0.114]
	0.631	0.669	0.667	0.255	0.281	0.263	0.323	0.328	0.319
12.income	-0.037	-0.020	-0.034	-0.021	-0.006	-0.020	-0.149	-0.151	-0.143
